ATERIO_DATA_CENTER_UID,DATA_CENTER_BUILDING_NAME,ATERIO_DATA_CENTER_CAMPUS_UID,DATA_CENTER_CAMPUS_NAME,DATA_CENTER_STAGE,LATEST_SATELLITE_PICTURE_DATE,PCT_CONSTRUCTION_STATUS,FLG_AI_FACILITY,FLG_BTM_ONSITE_POWER_GENERATION,DATA_CENTER_ACTIVATION_DATE,ESTIMATED_ACTIVE_DATE_BY,ATERIO_PROVIDER_UID,PROVIDER_NAME,PROVIDER_URL,PROVIDER_PUBLIC_PRIVATE,PROVIDER_TICKER_NAME,PROVIDER_BLOOMBERG_TICKER_NAME,STOCK_EXCHANGE_PROVIDER_NAME,PROVIDER_BACKED_BY,CONSTRUCTION_EQUIPMENT_PROVIDER_COMPANIES,PROJECT_FINANCING_COMPANIES,END_USER_COMPANIES,TOT_PROJECT_COST,FULL_ADDRESS,ZIP_CODE,COUNTY_FIPS_CODE,COUNTY_NAME,CITY_NAME,PLACE_FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_CODE,COUNTRY_NAME,LOCATION_LATITUDE,LOCATION_LONGITUDE,SITE_ACREAGE,TOT_FACILITY_SPACE_SQFT,TOT_DATACENTER_SPACE_SQFT,PROV_PUB_TOT_POWER_CAPACITY_MW,ATERIO_EST_TOT_POWER_CAPACITY_MW,ATERIO_EST_TOT_POWER_CAPACITY_MW_LOWER,ATERIO_EST_TOT_POWER_CAPACITY_MW_UPPER,SELECTED_POWER_CAPACITY_MW,AVG_MARKET_POWER_COST,YEARLY_PUE,TOT_NUM_GENERATORS,ATERIO_ELECTRICAL_SUBSTATION_UID,SUBSTATION_NAME,SUBSTATION_AREA_SQFT,SUBSTATION_FULL_ADDRESS,SUBSTATION_ZIP_CODE,SUBSTATION_COUNTY_FIPS_CODE,SUBSTATION_COUNTY_NAME,SUBSTATION_CITY_NAME,SUBSTATION_PLACE_FIPS_CODE,SUBSTATION_STATE_CODE,SUBSTATION_LOCATION_LATITUDE,SUBSTATION_LOCATION_LONGITUDE,ATERIO_ELECTRICAL_UTILITY_UID,UTILITY_NAME,UTILITY_CODE,UTILITY_PUBLIC_PRIVATE,UTILITY_TICKER_NAME,UTILITY_BLOOMBERG_TICKER_NAME,UTILITY_EXCHANGE_PROVIDER_TICKER_NAME,ATERIO_BAL_AUTH_UID,BAL_AUTH_ABBR,BAL_AUTH_NAME,ATERIO_BAL_AUTH_SUBREGION_UID,BAL_AUTH_SUBREGION_CODE,BAL_AUTH_SUBREGION_NAME,DATASHEET_URL,MAP_URL,PROJECT_PERMIT_URL,CAPEX_URL,PROJECT_EXECUTION_LIKELIHOOD,NOTES,RECORD_CREATED_DATE,RECORD_UPDATED_DATE,UPDATED_AT
3fbef4b3-262c-489a-a5b4-a2c93631871f, Big Beaver Data Center 1,42155620-47c5-11f1-9f34-e53ddca2edf1, Big Beaver Data Center Campus,Announcement,,,,,2028-12-31,Aterio,25bf8762-e6ae-4d3e-94ea-f0a77cb783a1,Switch Data Centers,https://www.switch.com,Private,,,,,,,,,"RM9J+C6 Big Beaver, PA, USA",,,,,,PA,Pennsylvania,US,United States,40.818535,-80.319466,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.blackridgeresearch.com/news-releases/switch-plans-154-59-hectares-data-center-campus-beaver-county-pennsylvania-us,https://maps.app.goo.gl/AVwLvpGY3N1LM9Gj7,,,Medium,"[2026-05-04 JH] Additional Info: Project in early stage, number of buildings, power capacity and site location not disclosed.",2026-05-04,2026-05-04,2026-05-15
9fd9ecc0-ecf4-11f0-a8ba-55f553d00f6a,Aligned Data Centers - West Jordan Campus - SLC07,2fafbde0-ecf3-11f0-8b42-77c8d9cc6a18,Aligned Data Centers - West Jordan Campus,Announcement,2026-04-24,0,Y,,2028-09-30,Aterio,3d55dfe8-9ebe-42f7-b66f-1d6fc81bf469,Aligned Data Centers,https://www.aligneddc.com,Private,,,,,,,,,"HWCV+P7 West Jordan, UT, USA",,,,,,UT,Utah,US,United States,40.57177,-112.056786,,,,,72,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://lf-public.deq.utah.gov/WebLink/DocView.aspx?id=556669&dbid=0&repo=Public, https://daqpermitting.utah.gov/DocViewer?IntDocID=159077&contentType=application%2Fpdf",https://maps.app.goo.gl/p9hnYr8KG8KnXJW29,https://lf-public.deq.utah.gov/WebLink/DocView.aspx?id=556669&dbid=0&repo=Public,,Medium,"[2026-01-13 FC] Additional Info: Air permit shows 5 buildings on this campus with 182 3.1MW gensets total. Activation date on SLC06-SLC09 estimated by Aterio
[2026-03-23 DS] Additional Info: Updated estimated power capacity based on air permit and similar buildouts by Aligned data centers.
[2026-03-26 SQ] Additional Info: Activation date updated from 2027-12-01 to Q3 2028.",2026-01-08,2026-04-28,2026-05-15
1d88d59c-fd52-49a1-ab82-94460320af1b,Antelope DC 1,113f3db0-3355-11f1-80fc-83b5d8ddfd30,Antelope Data Center Campus,Announcement,2026-04-04,0,Y,Y,2029-03-31,Aterio,00fee91b-e84a-40b8-bd70-5fe87d3d93bd,Company Not Disclosed,,Private,,,,,,,,,"MQFF+MG Cedar City, UT, USA",,,,,,UT,Utah,US,United States,37.674187,-113.22621,640,,207000,300,34.87,33.25,36.57,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.ksl.com/article/51463149/planning-commission-considers-ai-data-center-near-cedar-city,https://kutv.com/news/local/proposed-ai-data-center-could-bring-670-jobs-to-cedar-city-area",https://maps.app.goo.gl/b7Ek6tMyTJmBpT5j8,https://www.utah.gov/pmn/files/1395497.pdf,,Medium,[2026-04-07 JH] Additional Info: Pronghorn Development identified as developer. on-site natural gas power plant planned.,2026-04-08,2026-04-08,2026-05-15
85e56709-3a42-480a-ac92-519b449f7b7e,Antelope DC 2,113f3db0-3355-11f1-80fc-83b5d8ddfd30,Antelope Data Center Campus,Announcement,2026-04-04,0,Y,Y,2029-06-30,Aterio,00fee91b-e84a-40b8-bd70-5fe87d3d93bd,Company Not Disclosed,,Private,,,,,,,,,"MQFF+MG Cedar City, UT, USA",,,,,,UT,Utah,US,United States,37.674187,-113.22621,640,,207000,300,34.87,33.25,36.57,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.ksl.com/article/51463149/planning-commission-considers-ai-data-center-near-cedar-city,https://kutv.com/news/local/proposed-ai-data-center-could-bring-670-jobs-to-cedar-city-area",https://maps.app.goo.gl/b7Ek6tMyTJmBpT5j8,https://www.utah.gov/pmn/files/1395497.pdf,,Medium,[2026-04-07 JH] Additional Info: Pronghorn Development identified as developer. on-site natural gas power plant planned.,2026-04-08,2026-04-08,2026-05-15
e4ff8992-5273-45a9-951f-7442a719cb0d,Antelope DC 3,113f3db0-3355-11f1-80fc-83b5d8ddfd30,Antelope Data Center Campus,Announcement,2026-04-04,0,Y,Y,2029-09-30,Aterio,00fee91b-e84a-40b8-bd70-5fe87d3d93bd,Company Not Disclosed,,Private,,,,,,,,,"MQFF+MG Cedar City, UT, USA",,,,,,UT,Utah,US,United States,37.674187,-113.22621,640,,207000,300,34.87,33.25,36.57,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.ksl.com/article/51463149/planning-commission-considers-ai-data-center-near-cedar-city,https://kutv.com/news/local/proposed-ai-data-center-could-bring-670-jobs-to-cedar-city-area",https://maps.app.goo.gl/b7Ek6tMyTJmBpT5j8,https://www.utah.gov/pmn/files/1395497.pdf,,Medium,[2026-04-07 JH] Additional Info: Pronghorn Development identified as developer. on-site natural gas power plant planned.,2026-04-08,2026-04-08,2026-05-15
a918546e-908a-4b10-b75d-eb7f4ad6d7f4,Antelope DC 4,113f3db0-3355-11f1-80fc-83b5d8ddfd30,Antelope Data Center Campus,Announcement,2026-04-04,0,Y,Y,2029-12-31,Aterio,00fee91b-e84a-40b8-bd70-5fe87d3d93bd,Company Not Disclosed,,Private,,,,,,,,,"MQFF+MG Cedar City, UT, USA",,,,,,UT,Utah,US,United States,37.674187,-113.22621,640,,207000,300,34.87,33.25,36.57,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.ksl.com/article/51463149/planning-commission-considers-ai-data-center-near-cedar-city,https://kutv.com/news/local/proposed-ai-data-center-could-bring-670-jobs-to-cedar-city-area",https://maps.app.goo.gl/b7Ek6tMyTJmBpT5j8,https://www.utah.gov/pmn/files/1395497.pdf,,Medium,[2026-04-07 JH] Additional Info: Pronghorn Development identified as developer. on-site natural gas power plant planned.,2026-04-08,2026-04-08,2026-05-15
7dc40d27-9b40-455e-8709-7b9dab5ce343,Antelope DC 5,113f3db0-3355-11f1-80fc-83b5d8ddfd30,Antelope Data Center Campus,Announcement,2026-04-04,0,Y,Y,2030-03-31,Aterio,00fee91b-e84a-40b8-bd70-5fe87d3d93bd,Company Not Disclosed,,Private,,,,,,,,,"MQFF+MG Cedar City, UT, USA",,,,,,UT,Utah,US,United States,37.674187,-113.22621,640,,207000,300,34.87,33.25,36.57,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.ksl.com/article/51463149/planning-commission-considers-ai-data-center-near-cedar-city,https://kutv.com/news/local/proposed-ai-data-center-could-bring-670-jobs-to-cedar-city-area",https://maps.app.goo.gl/b7Ek6tMyTJmBpT5j8,https://www.utah.gov/pmn/files/1395497.pdf,,Medium,[2026-04-07 JH] Additional Info: Pronghorn Development identified as developer. on-site natural gas power plant planned.,2026-04-08,2026-04-08,2026-05-15
e085d860-4d70-11f1-880b-7347f3e9b522,Balzac Area Data Center ,,,Announcement,2026-04-30,0,,,2030-06-30,Aterio,00fee91b-e84a-40b8-bd70-5fe87d3d93bd,Company Not Disclosed,,Private,,,,,,,,,"52MX+XG Calgary, AB, Canada",,,,Calgary,,AB,Alberta,CA,Canada,51.184986,-113.951126,,,,,45,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.arcgis.com/apps/webappviewer/index.html?id=9320089ec6b54402b83e7bf1288b9a0a,https://maps.app.goo.gl/BEQ8RP8AuvqwUL1V7,,,Medium,[2026-05-11 JH] Additional Info: Project remains in preliminary stages pending approvals. Request for 45 MW grid connection filed with Alberta Electric System Operator. No public building plans or announcements disclosed.,2026-05-11,2026-05-11,2026-05-15
881336e0-b8d9-11f0-97fe-25316ac7237b,Beacon Saint John Data Center 1,0eb85f40-4b10-11f1-ada5-81e194495ab3,Beacon Saint John Data Center Campus,Announcement,2026-04-21,0,Y,Y,2028-06-30,Aterio,13be7206-759d-41a5-89c4-aa665fa567dd,Beacon Data Centers,http://www.beacondatacenters.com,Public,"","","",,,Nadia Partners,,,"5RMJ+X4 Saint John, NB, Canada",,,,Saint John,,NB,New Brunswick,CA,Canada,45.184956,-66.169685,120,,,47,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.cbc.ca/news/canada/new-brunswick/data-centre-saint-john-industrial-park-9.6960550,https://beacondatacenters.com/campuses/,https://www.sjdatacentre.ca/",https://maps.app.goo.gl/qb4k1CHLnup4UEye7,,,Medium,"[2025-11-03 DS] BTM: VoltaGrid will develop an on-site 190MW natural gas-fired power plant.
[2026-02-12 DS] Additional Information: The provider name has been updated to match the asset owner.
[2026-05-08 JH] Additional Info: Site location updated; project revised to four buildings according to plans. Activation date updated from 2027-11-01 to Q2 2028.",2025-11-03,2026-05-08,2026-05-15
8f58acfe-8a95-4533-b1e4-6c80bc61251d,Beacon Saint John Data Center 2,0eb85f40-4b10-11f1-ada5-81e194495ab3,Beacon Saint John Data Center Campus,Announcement,2026-04-21,0,Y,Y,2028-09-30,Aterio,13be7206-759d-41a5-89c4-aa665fa567dd,Beacon Data Centers,http://www.beacondatacenters.com,Public,"","","",,,,,,"5RMJ+X4 Saint John, NB, Canada",,,,Saint John,,NB,New Brunswick,CA,Canada,45.184956,-66.169685,120,,,47,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://beacondatacenters.com/campuses/,https://www.sjdatacentre.ca/",https://maps.app.goo.gl/qb4k1CHLnup4UEye7,,,Medium,[2026-05-08 JH] Additional Info: Site location updated. Project revised to four buildings according to plans.,2026-05-08,2026-05-08,2026-05-15
